locality,average_price_nominal_euros,average_price_m2_nominal_euros,year,n_offers
Grand-Duchy of Luxembourg,569216.0,3251.0,2010,19278
Grand-Duchy of Luxembourg,597784.711711,3375.088978,2011,21253
Grand-Duchy of Luxembourg,596347.972382,3408.711732,2012,14773
Grand-Duchy of Luxembourg,644884.979694,3589.790108,2013,13298
Grand-Duchy of Luxembourg,663639.733049,3647.123608,2014,9852
Grand-Duchy of Luxembourg,724342.0,3943.0,2015,9630
Grand-Duchy of Luxembourg,754509.221949,4124.10338,2016,9332
Grand-Duchy of Luxembourg,812919.0678,4274.039466,2017,16055
Grand-Duchy of Luxembourg,874685.96,4562.288,2018,13534
Grand-Duchy of Luxembourg,970589.13,5038.614,2019,12171
Grand-Duchy of Luxembourg,1180466.6,6364.361,2020,11757
Grand-Duchy of Luxembourg,1317473.9,6743.722,2021,11925
